meal_name,calories,protein,carbs,fat,diet_type,meal_category
Energy Smoothie 100,240,6,21,8,Non-Vegetarian,Lunch
Stir-Fry Special 38,364,29,63,9,Non-Vegetarian,Lunch
Energy Smoothie 71,447,5,61,13,Vegetarian,Morning Snack
Power Salad 87,281,19,36,8,Vegan,Dinner
Healthy Meal 36,284,13,36,17,Vegan,Afternoon Snack
Grilled Dish 51,372,41,41,8,Non-Vegetarian,Morning Snack
Green Delight 48,476,50,64,18,Vegan,Dinner
Healthy Meal 7,379,38,37,9,Non-Vegetarian,Lunch
Energy Smoothie 53,500,11,29,5,Vegetarian,Morning Snack
Nut Mix 71,201,50,33,8,Non-Vegetarian,Morning Snack
Green Delight 40,341,6,21,6,Non-Vegetarian,Morning Snack
Super Oats 49,460,34,48,15,Vegetarian,Afternoon Snack
Super Oats 20,302,7,43,20,Vegan,Morning Snack
Protein Bowl 50,563,20,20,11,Non-Vegetarian,Breakfast
Protein Bowl 37,503,11,40,9,Vegetarian,Lunch
Grilled Dish 69,484,37,57,13,Vegetarian,Dinner
Nut Mix 70,589,34,24,14,Vegetarian,Afternoon Snack
Energy Smoothie 7,516,5,66,5,Non-Vegetarian,Afternoon Snack
Nut Mix 59,440,35,60,20,Vegan,Afternoon Snack
Grilled Dish 78,557,17,61,18,Non-Vegetarian,Lunch
Quinoa Special 99,500,19,54,14,Vegetarian,Breakfast
Quinoa Special 97,481,23,38,5,Vegetarian,Afternoon Snack
Power Salad 56,302,17,33,10,Non-Vegetarian,Lunch
Nut Mix 36,240,24,51,10,Vegetarian,Afternoon Snack
Stir-Fry Special 91,423,14,34,7,Vegan,Afternoon Snack
Super Oats 13,223,20,35,5,Vegan,Afternoon Snack
Energy Smoothie 84,527,24,31,17,Non-Vegetarian,Breakfast
Nut Mix 14,451,20,26,7,Vegetarian,Breakfast
Nut Mix 85,533,5,26,11,Vegetarian,Afternoon Snack
Power Salad 66,245,27,61,7,Non-Vegetarian,Dinner
Energy Smoothie 61,440,35,34,17,Vegetarian,Dinner
Stir-Fry Special 33,509,22,44,6,Vegan,Afternoon Snack
Grilled Dish 39,479,21,63,20,Vegetarian,Afternoon Snack
Quinoa Special 92,566,40,28,7,Vegetarian,Morning Snack
Green Delight 65,399,7,53,15,Vegetarian,Afternoon Snack
Protein Bowl 2,468,24,52,20,Non-Vegetarian,Morning Snack
Protein Bowl 51,253,39,32,7,Vegan,Morning Snack
Stir-Fry Special 89,430,40,24,12,Non-Vegetarian,Dinner
Nut Mix 2,282,14,22,15,Non-Vegetarian,Afternoon Snack
Power Salad 84,559,16,49,9,Vegetarian,Dinner
Nut Mix 61,488,50,22,18,Non-Vegetarian,Morning Snack
Green Delight 71,299,42,50,7,Non-Vegetarian,Afternoon Snack
Grilled Dish 57,386,11,66,9,Non-Vegetarian,Lunch
Protein Bowl 5,563,14,52,20,Vegetarian,Dinner
Energy Smoothie 76,341,25,20,7,Vegan,Dinner
Super Oats 15,288,21,32,16,Non-Vegetarian,Breakfast
Power Salad 72,202,49,33,18,Vegan,Dinner
Quinoa Special 54,382,10,70,10,Vegetarian,Morning Snack
Power Salad 27,257,43,64,16,Non-Vegetarian,Breakfast
Quinoa Special 17,358,12,39,7,Vegetarian,Dinner
Green Delight 1,311,45,44,16,Non-Vegetarian,Morning Snack
Stir-Fry Special 66,569,46,57,12,Non-Vegetarian,Lunch
Quinoa Special 70,209,15,26,14,Non-Vegetarian,Dinner
Energy Smoothie 15,536,29,64,5,Vegetarian,Breakfast
Nut Mix 72,301,15,59,11,Vegan,Afternoon Snack
Quinoa Special 27,460,17,55,11,Vegan,Afternoon Snack
Protein Bowl 73,336,39,27,6,Vegetarian,Dinner
Protein Bowl 79,385,47,55,19,Vegetarian,Morning Snack
Protein Bowl 22,574,43,64,20,Vegetarian,Morning Snack
Stir-Fry Special 68,242,45,68,15,Non-Vegetarian,Morning Snack
Energy Smoothie 100,257,12,61,12,Non-Vegetarian,Dinner
Healthy Meal 54,388,39,52,16,Non-Vegetarian,Dinner
Healthy Meal 5,488,43,28,17,Vegan,Dinner
Energy Smoothie 52,410,19,23,9,Vegan,Lunch
Energy Smoothie 56,479,26,56,8,Non-Vegetarian,Breakfast
Super Oats 95,464,8,22,7,Non-Vegetarian,Dinner
Healthy Meal 42,478,44,60,17,Vegetarian,Lunch
Stir-Fry Special 85,207,11,62,19,Vegan,Lunch
Healthy Meal 6,201,35,65,8,Vegan,Lunch
Nut Mix 58,280,41,25,6,Non-Vegetarian,Afternoon Snack
Healthy Meal 22,213,38,31,14,Vegetarian,Breakfast
Nut Mix 96,538,49,47,15,Non-Vegetarian,Lunch
Grilled Dish 74,508,14,29,17,Vegan,Lunch
Green Delight 99,549,48,50,19,Vegetarian,Lunch
Grilled Dish 39,428,6,56,17,Vegetarian,Breakfast
Protein Bowl 99,469,25,69,7,Non-Vegetarian,Morning Snack
Healthy Meal 90,597,31,45,7,Non-Vegetarian,Lunch
Super Oats 24,320,22,48,15,Vegan,Morning Snack
Stir-Fry Special 97,476,40,50,17,Non-Vegetarian,Afternoon Snack
Super Oats 81,264,48,28,15,Vegetarian,Lunch
Power Salad 33,270,21,62,11,Vegetarian,Lunch
Quinoa Special 66,210,50,28,12,Vegetarian,Dinner
Super Oats 62,431,7,54,17,Vegetarian,Breakfast
Nut Mix 60,593,5,64,14,Vegan,Dinner
Super Oats 68,405,28,42,7,Vegan,Breakfast
Stir-Fry Special 10,250,11,24,18,Vegetarian,Morning Snack
